=|0.0.0.0/8|28329 174 174 39386 25019 39891|
=|5.41.198.0/24|199524 3356 39386 25019 39891 39891|
=|5.41.198.0/24|49544 3356 39386 25019 39891|
=|5.41.198.0/24|1031 39386 25019 39891|
=|5.41.200.0/24|28186 3356 39386 25019 39891|
=|224.0.0.0/4|271253 3356 39386 25019 39891|
=|5.41.200.0/24|199524 3356 39386 39386 39386 39386 25019 25019 25019 25019 25019 25019 39891|
=|5.41.200.0/24|263541 28329 39386 25019 39891 39891|
=|2804:2480:2000::/36|199524 264227 264227|
=|5.41.200.0/24|53427 39386 25019 39891|
=|68.233.13.0/24|20121 3549 3549 3549 2828 26689|
=|68.233.20.0/24|28289 53131 16735 3549 2828 26689|
=|68.233.20.0/24|20121 20121 20121 20121 3549 2828 26689|
=|68.233.21.0/24|28289 53131 16735 3549 2828 2828 26689|
