# AS|ObservedPolicies|GeralPolicy
63199|0;2;1|Mixed
23930|2;0|Mixed
23576|0;3;2|Mixed
9770|0|NoPrepend
3215|0|NoPrepend
3549|0;2|Mixed
34164|0;1;2|Mixed
20940|2;1;0;3|Mixed
20485|2;0|Mixed
16625|0|NoPrepend
1273|0|NoPrepend
6762|0;2|Mixed
12222|2;1;0|Mixed
5511|0|NoPrepend
21342|0|NoPrepend
43639|1|Uniform
12956|0|NoPrepend
2914|0|NoPrepend
719|0|NoPrepend
8708|0|NoPrepend
37457|0;1|Mixed
8697|0;3;2|Mixed
1299|2|Binary
32787|0|NoPrepend
27747|0|NoPrepend
1267|0;2|Mixed
15897|0|NoPrepend
7303|2;0;1|Mixed
33905|0|NoPrepend
6057|0|NoPrepend
61580|0|NoPrepend
31108|1|Uniform
8966|3;0;2|Mixed
3216|2;0|Mixed
3257|0|NoPrepend
12400|0|NoPrepend
8781|0|NoPrepend
12576|0|NoPrepend
30722|0;1|Mixed
44957|0|NoPrepend
5384|0|NoPrepend
209945|0|NoPrepend
44794|0|NoPrepend
209152|0|NoPrepend
133846|0|NoPrepend
209870|0|NoPrepend
31083|0;1|Mixed
23679|0|NoPrepend
18530|2;3;1;0|Mixed
21195|0|NoPrepend
9009|0;2;3;1|Mixed
35336|0|NoPrepend
48095|0|NoPrepend
41280|0|NoPrepend
395800|0|NoPrepend
199366|0|NoPrepend
209170|0|NoPrepend
42929|0|NoPrepend
209235|0|NoPrepend
35699|0;2|Mixed
203226|0|NoPrepend
209234|0|NoPrepend
197540|0;2|Mixed
60781|0|NoPrepend
29066|0|NoPrepend
57129|0|NoPrepend
35913|0|NoPrepend
40676|0;2;1|Mixed
209102|0|NoPrepend
48031|0|NoPrepend
395092|0|NoPrepend
42926|0;1;2|Mixed
12453|0|NoPrepend
7489|0;2;1|Mixed
209183|0|NoPrepend
3280|0|NoPrepend
62068|0|NoPrepend
31566|0;2|Mixed
8100|0;2|Mixed
62240|3;2|Mixed
12679|0|NoPrepend
39560|0|NoPrepend
202448|0;1|Mixed
41960|0|NoPrepend
39690|0|NoPrepend
49335|2;0;1|Mixed
42366|0;2|Mixed
57494|2;3;0|Mixed
206638|0|NoPrepend
209224|0|NoPrepend
204861|0|NoPrepend
209200|0|NoPrepend
61317|0|NoPrepend
42090|0|NoPrepend
263702|0;2;3;1|Mixed
209222|0|NoPrepend
44088|0|NoPrepend
47350|0|NoPrepend
209117|0|NoPrepend
57948|2|Binary
199909|0|NoPrepend
50782|0|NoPrepend
209070|0|NoPrepend
27714|0|NoPrepend
60718|0|NoPrepend
43444|0|NoPrepend
203462|0|NoPrepend
47583|0;1;2|Mixed
30337|0;1|Mixed
41798|2;0;1;3|Mixed
60609|0|NoPrepend
29119|0|NoPrepend
201466|0|NoPrepend
55933|2;0;3;1|Mixed
62380|0|NoPrepend
34549|3;0;2|Mixed
132839|0|NoPrepend
209202|0|NoPrepend
201893|2;1|Mixed
31229|0|NoPrepend
57355|0|NoPrepend
20647|0|NoPrepend
31852|0|NoPrepend
46133|0|NoPrepend
22923|0|NoPrepend
47987|0|NoPrepend
209189|0|NoPrepend
205289|0|NoPrepend
197522|0;2|Mixed
209961|0|NoPrepend
209811|0|NoPrepend
210199|0|NoPrepend
11325|0|NoPrepend
206279|0;2|Mixed
174|0|NoPrepend
19905|2;0|Mixed
50495|0|NoPrepend
64421|0|NoPrepend
9119|0;2;3|Mixed
200462|0|NoPrepend
209244|0|NoPrepend
35133|0|NoPrepend
57844|0|NoPrepend
199527|0;1|Mixed
25780|0|NoPrepend
209123|0|NoPrepend
50308|0|NoPrepend
62019|0|NoPrepend
56630|2;3;0|Mixed
35139|0|NoPrepend
42160|2;1;0|Mixed
209185|0|NoPrepend
50129|0|NoPrepend
209184|0|NoPrepend
6718|2|Binary
42013|0;1|Mixed
209171|0|NoPrepend
42864|0;2|Mixed
209182|0|NoPrepend
200555|0|NoPrepend
209181|0|NoPrepend
61996|0|NoPrepend
202805|0|NoPrepend
201843|0;2|Mixed
209178|0|NoPrepend
47829|0|NoPrepend
134522|0|NoPrepend
9312|0|NoPrepend
209177|0|NoPrepend
48577|0|NoPrepend
42830|2|Binary
20668|2|Binary
201011|0;1|Mixed
209883|0|NoPrepend
9123|0|NoPrepend
60032|3|Diverse
204895|0|NoPrepend
209145|0|NoPrepend
209167|0|NoPrepend
197957|0|NoPrepend
203499|0|NoPrepend
60397|0|NoPrepend
203377|0|NoPrepend
209737|0|NoPrepend
44066|0;2|Mixed
29462|0|NoPrepend
59919|0;2|Mixed
57809|2|Binary
44676|0|NoPrepend
209153|0|NoPrepend
45027|0|NoPrepend
49028|0|NoPrepend
42205|0|NoPrepend
202376|0|NoPrepend
48959|0|NoPrepend
209155|0|NoPrepend
209835|2|Binary
202136|0|NoPrepend
12389|0;2|Mixed
44034|0|NoPrepend
29355|0|NoPrepend
3243|0|NoPrepend
6799|0|NoPrepend
25019|0|NoPrepend
8402|3;0;1;2|Mixed
13285|3;0|Mixed
3292|0|NoPrepend
3269|0|NoPrepend
5607|1;0|Mixed
9158|0|NoPrepend
9198|0|NoPrepend
3352|0|NoPrepend
44244|0|NoPrepend
2119|0|NoPrepend
6739|0;2;1|Mixed
12357|0|NoPrepend
12430|0|NoPrepend
24608|0;2;1|Mixed
3320|1;0|Mixed
12880|1;0;2|Mixed
48159|0;2|Mixed
58224|0;1|Mixed
60148|0;1|Mixed
31549|0;1|Mixed
49666|3;0|Mixed
50810|0|NoPrepend
43754|0|NoPrepend
42337|0|NoPrepend
56616|0|NoPrepend
62196|0|NoPrepend
16232|0|NoPrepend
3209|0|NoPrepend
6805|0|NoPrepend
12874|0|NoPrepend
3301|0|NoPrepend
16509|0;2;1|Mixed
14618|0|NoPrepend
3356|0;2|Mixed
46164|0|NoPrepend
21889|0|NoPrepend
26481|0|NoPrepend
20473|0;2;1|Mixed
29256|1;0|Mixed
21219|0|NoPrepend
3326|0;2|Mixed
198731|2|Binary
15493|0|NoPrepend
198161|2|Binary
62217|0|NoPrepend
205632|0|NoPrepend
205948|0|NoPrepend
30823|3;2;0|Mixed
198385|0|NoPrepend
198735|1;0|Mixed
198738|3;0|Mixed
61157|0;1|Mixed
12638|0|NoPrepend
21472|0|NoPrepend
51678|0|NoPrepend
41560|0|NoPrepend
60404|0|NoPrepend
3188|0|NoPrepend
198432|0|NoPrepend
31655|0|NoPrepend
31483|0|NoPrepend
16179|0|NoPrepend
62287|0;1|Mixed
12772|0;2;3;1|Mixed
48441|0|NoPrepend
39028|0|NoPrepend
201083|0|NoPrepend
202778|0|NoPrepend
206171|0|NoPrepend
207078|2|Binary
9049|0;2|Mixed
41661|0|NoPrepend
209303|0|NoPrepend
41682|0|NoPrepend
42683|0|NoPrepend
41668|0|NoPrepend
50542|0|NoPrepend
51570|0|NoPrepend
42682|0|NoPrepend
57026|0|NoPrepend
57378|0|NoPrepend
50543|0|NoPrepend
44050|0;2|Mixed
206804|0;1;2|Mixed
205601|0|NoPrepend
202425|2;0|Mixed
202422|0|NoPrepend
199524|0;2;1;3|Mixed
50340|0|NoPrepend
202023|0|NoPrepend
50896|2;0|Mixed
205701|0|NoPrepend
30475|0|NoPrepend
44812|0|NoPrepend
49505|0;1|Mixed
56541|2|Binary
62088|0|NoPrepend
62241|0;1;2|Mixed
30848|2;0|Mixed
31126|0;1|Mixed
3181|0|NoPrepend
198762|0|NoPrepend
31261|0|NoPrepend
198833|0|NoPrepend
198821|2|Binary
51219|0|NoPrepend
59530|0|NoPrepend
29286|0;1|Mixed
49301|0|NoPrepend
15774|0;1|Mixed
21365|0|NoPrepend
3178|0|NoPrepend
202025|0|NoPrepend
24940|3;2|Mixed
198726|0|NoPrepend
57154|2|Binary
60610|0|NoPrepend
57168|0;2|Mixed
21769|0|NoPrepend
199045|0|NoPrepend
198967|0|NoPrepend
6830|0|NoPrepend
36351|0|NoPrepend
4809|0;1;2|Mixed
49209|0;2;1|Mixed
25160|0|NoPrepend
51088|0|NoPrepend
54103|0;2;1|Mixed
39855|2;0|Mixed
49835|0|NoPrepend
25394|0|NoPrepend
20676|2|Binary
3194|0|NoPrepend
44568|0|NoPrepend
15723|0|NoPrepend
3190|0|NoPrepend
30844|3;0;2|Mixed
42705|0;1;2|Mixed
200654|0;2|Mixed
21277|0|NoPrepend
47217|0|NoPrepend
31408|0|NoPrepend
47215|0|NoPrepend
56578|0|NoPrepend
31214|0|NoPrepend
35415|0|NoPrepend
196646|0|NoPrepend
15404|0;1;2|Mixed
16135|0;1|Mixed
21353|0|NoPrepend
41733|0|NoPrepend
42116|0|NoPrepend
21412|2;3;0|Mixed
50010|0|NoPrepend
50463|2;0|Mixed
51043|0|NoPrepend
196763|2;0|Mixed
201934|2|Binary
60500|0|NoPrepend
60829|0|NoPrepend
198757|0|NoPrepend
48964|0;3;2|Mixed
31042|0;2|Mixed
48289|0|NoPrepend
31672|0|NoPrepend
2116|0|NoPrepend
43905|0|NoPrepend
197524|0|NoPrepend
39704|3;2|Mixed
6453|0;1|Mixed
34977|0|NoPrepend
40009|0;2|Mixed
12850|0|NoPrepend
13193|0|NoPrepend
35382|0|NoPrepend
12969|0;2|Mixed
8636|0|NoPrepend
57214|0|NoPrepend
48944|0|NoPrepend
8678|0|NoPrepend
6848|2;0|Mixed
12303|2;0|Mixed
58177|0|NoPrepend
8439|0|NoPrepend
137811|0|NoPrepend
42010|0;1|Mixed
35425|0|NoPrepend
20880|0|NoPrepend
12849|0;1;3;2|Mixed
{12849}|0|NoPrepend
15802|0|NoPrepend
60168|0|NoPrepend
57705|0|NoPrepend
44549|0|NoPrepend
43714|0|NoPrepend
15533|0|NoPrepend
198870|0|NoPrepend
15836|2;0|Mixed
34547|0|NoPrepend
16333|0|NoPrepend
198904|0|NoPrepend
21299|0;1|Mixed
199435|0|NoPrepend
51440|0|NoPrepend
8513|0|NoPrepend
15626|0|NoPrepend
21100|0|NoPrepend
198800|0|NoPrepend
58142|0|NoPrepend
25054|0|NoPrepend
58141|0|NoPrepend
57858|0|NoPrepend
198288|0|NoPrepend
31514|0;2|Mixed
43530|0;2|Mixed
8681|0|NoPrepend
58143|0|NoPrepend
49820|2|Binary
42303|0|NoPrepend
209706|0|NoPrepend
31577|2|Binary
5588|0|NoPrepend
42493|0|NoPrepend
20773|0;1|Mixed
8972|0|NoPrepend
35329|0|NoPrepend
28885|0|NoPrepend
5483|0;2;1|Mixed
16276|0|NoPrepend
34748|0|NoPrepend
58157|0|NoPrepend
31673|0|NoPrepend
{198753}|0|NoPrepend
198753|0|NoPrepend
58291|0|NoPrepend
29512|2;0;3|Mixed
47232|3|Diverse
56561|0|NoPrepend
198871|0|NoPrepend
57043|0|NoPrepend
198792|0|NoPrepend
51985|2;3|Mixed
60641|0|NoPrepend
48173|2;0|Mixed
206487|0|NoPrepend
43160|0;2|Mixed
202676|0|NoPrepend
204166|0|NoPrepend
39891|0|NoPrepend
39493|2;1|Mixed
8680|0|NoPrepend
41998|2;0|Mixed
50627|0;1|Mixed
58208|0|NoPrepend
57976|0|NoPrepend
198802|0|NoPrepend
35753|0;2|Mixed
42591|0|NoPrepend
12353|0|NoPrepend
42560|0|NoPrepend
48642|2;1|Mixed
34594|2;0|Mixed
51407|2;1;3|Mixed
51248|0|NoPrepend
29050|0|NoPrepend
21191|0;1|Mixed
198830|0|NoPrepend
39812|3;1|Mixed
13768|0;2;3|Mixed
197830|0|NoPrepend
5577|0|NoPrepend
197890|0|NoPrepend
202423|0|NoPrepend
205220|0|NoPrepend
39787|0|NoPrepend
60358|0|NoPrepend
20978|0;1|Mixed
45031|0|NoPrepend
21413|1;0|Mixed
57739|0|NoPrepend
58185|0|NoPrepend
60144|0|NoPrepend
38926|0;2|Mixed
34757|2;1|Mixed
41794|2|Binary
40995|2;1|Mixed
47433|2|Binary
198848|0|NoPrepend
12757|0|NoPrepend
45011|0|NoPrepend
41491|2|Binary
43513|0|NoPrepend
198823|0|NoPrepend
201692|2|Binary
42652|0;2|Mixed
199134|0|NoPrepend
59705|0|NoPrepend
36483|0|NoPrepend
200310|0|NoPrepend
201547|0|NoPrepend
58223|0;1|Mixed
198605|0|NoPrepend
50673|2;0|Mixed
12722|0|NoPrepend
198068|0;2|Mixed
9038|0;3;2|Mixed
60203|0|NoPrepend
29141|0|NoPrepend
60406|0|NoPrepend
198867|0|NoPrepend
13238|0;2|Mixed
5410|3;0;2|Mixed
21502|0;1|Mixed
197207|0|NoPrepend
15425|0|NoPrepend
50923|2;0;3|Mixed
2856|0|NoPrepend
61137|0|NoPrepend
29222|0|NoPrepend
35297|0|NoPrepend
13124|0|NoPrepend
3329|0;1|Mixed
61408|0|NoPrepend
198843|0|NoPrepend
57033|0|NoPrepend
41075|0|NoPrepend
12301|0|NoPrepend
199248|0|NoPrepend
24916|0|NoPrepend
57286|0;2|Mixed
8926|0;1;2|Mixed
197343|0|NoPrepend
209782|0|NoPrepend
61191|0|NoPrepend
200296|0|NoPrepend
198520|0|NoPrepend
31027|2|Binary
58233|0|NoPrepend
198850|0|NoPrepend
39010|0;1;2|Mixed
3176|0|NoPrepend
24982|0|NoPrepend
38999|0|NoPrepend
8449|0|NoPrepend
43996|0;2;3|Mixed
202196|0;2|Mixed
199434|0|NoPrepend
50372|0|NoPrepend
198608|0|NoPrepend
204167|0|NoPrepend
49332|0|NoPrepend
197423|0|NoPrepend
8330|0|NoPrepend
49902|0|NoPrepend
43939|0;1|Mixed
12360|2|Binary
199554|0|NoPrepend
13178|0|NoPrepend
28775|3|Diverse
35100|0|NoPrepend
42707|0|NoPrepend
16223|0|NoPrepend
56634|0|NoPrepend
196952|2|Binary
202564|0|NoPrepend
206351|2|Binary
56361|0;1;2|Mixed
48146|0|NoPrepend
207165|0|NoPrepend
39906|0|NoPrepend
206809|0|NoPrepend
39248|0|NoPrepend
61367|0|NoPrepend
59494|0|NoPrepend
206649|0|NoPrepend
205946|0|NoPrepend
49348|0|NoPrepend
201746|0|NoPrepend
57707|0|NoPrepend
197074|0|NoPrepend
51211|0|NoPrepend
57361|2|Binary
44587|0|NoPrepend
47626|0|NoPrepend
57888|0|NoPrepend
48481|0|NoPrepend
8374|2|Binary
204923|0|NoPrepend
25227|0|NoPrepend
60748|0|NoPrepend
51178|0|NoPrepend
199072|2|Binary
47764|0|NoPrepend
58262|0|NoPrepend
39655|0|NoPrepend
28753|0|NoPrepend
15644|0|NoPrepend
58173|0|NoPrepend
24582|2;0;1|Mixed
198872|0|NoPrepend
39683|1|Uniform
199373|1|Uniform
25460|2|Binary
58243|0|NoPrepend
198885|0|NoPrepend
198193|0|NoPrepend
200738|0|NoPrepend
202709|0|NoPrepend
47169|0|NoPrepend
12859|0|NoPrepend
16397|0;2|Mixed
199610|0;2;1|Mixed
62275|2|Binary
14537|0|NoPrepend
198589|1;0;2|Mixed
32181|0;2|Mixed
57218|0|NoPrepend
37284|0;1|Mixed
57497|0|NoPrepend
16292|0|NoPrepend
199133|2;0|Mixed
31688|0|NoPrepend
62336|0|NoPrepend
49813|0|NoPrepend
21309|0;2;3|Mixed
29302|0|NoPrepend
197695|0;2|Mixed
49800|0|NoPrepend
201921|2|Binary
61310|0|NoPrepend
203306|2|Binary
200594|1;2|Mixed
200602|2|Binary
21334|0|NoPrepend
34145|0|NoPrepend
20730|0|NoPrepend
20860|0|NoPrepend
31727|2;0;3|Mixed
44395|0|NoPrepend
16322|0;1|Mixed
15395|0|NoPrepend
8369|2;0;3|Mixed
35819|0|NoPrepend
51050|0|NoPrepend
58273|3;0;2|Mixed
35362|2;0|Mixed
28717|0|NoPrepend
199498|0|NoPrepend
51204|2;0|Mixed
41732|0|NoPrepend
207115|0|NoPrepend
64398|0|NoPrepend
35775|0|NoPrepend
50563|0|NoPrepend
61395|0;1|Mixed
8190|0|NoPrepend
198898|0|NoPrepend
58287|2|Binary
49360|0|NoPrepend
198887|0|NoPrepend
12586|0;1;2|Mixed
200032|0|NoPrepend
200924|2|Binary
51059|2;1;0|Mixed
39506|0|NoPrepend
57791|0|NoPrepend
28876|0|NoPrepend
42038|0|NoPrepend
58324|0|NoPrepend
394695|2;0|Mixed
30873|2;1;3;0|Mixed
18705|0;2|Mixed
199115|0|NoPrepend
44087|0;1|Mixed
8315|0|NoPrepend
12481|2|Binary
56902|1;0|Mixed
204128|0|NoPrepend
56340|0|NoPrepend
28840|0|NoPrepend
201952|0;1|Mixed
49614|2|Binary
8595|3;2;0|Mixed
48096|0|NoPrepend
50113|2;0;1|Mixed
44283|0|NoPrepend
14061|0;2|Mixed
42831|0|NoPrepend
198610|0|NoPrepend
39047|0|NoPrepend
15552|0|NoPrepend
198471|0;2;1|Mixed
60115|0|NoPrepend
39130|1;0|Mixed
200999|2;3|Mixed
210272|0|NoPrepend
198420|0|NoPrepend
41023|0|NoPrepend
51110|0|NoPrepend
8586|0;1|Mixed
51737|0|NoPrepend
199976|0|NoPrepend
201359|0|NoPrepend
207191|0|NoPrepend
52102|2|Binary
59414|0|NoPrepend
28890|2;0|Mixed
199284|3;0;2;1|Mixed
50300|0|NoPrepend
204170|0|NoPrepend
6908|0|NoPrepend
47956|0|NoPrepend
44869|0|NoPrepend
47883|0;1|Mixed
198977|0|NoPrepend
12779|0|NoPrepend
59815|1;2|Mixed
15133|0;1;2;3|Mixed
198964|0|NoPrepend
51873|0|NoPrepend
50624|0|NoPrepend
24961|0|NoPrepend
34968|0|NoPrepend
43350|2;0|Mixed
21263|0|NoPrepend
203507|2;1|Mixed
206970|2|Binary
202003|2|Binary
34376|0|NoPrepend
57344|0|NoPrepend
49699|0|NoPrepend
44901|0|NoPrepend
34524|0|NoPrepend
34659|0|NoPrepend
58344|0|NoPrepend
28760|0;2|Mixed
62370|0|NoPrepend
20645|0;2;3;1|Mixed
58321|0;1|Mixed
43554|0|NoPrepend
34400|0|NoPrepend
31200|3|Diverse
60119|2|Binary
206817|0|NoPrepend
205076|0|NoPrepend
50266|3|Diverse
44453|0|NoPrepend
31400|2;0;1|Mixed
47692|0;2|Mixed
198994|0|NoPrepend
197155|2|Binary
59395|0|NoPrepend
199046|0|NoPrepend
51395|0|NoPrepend
199468|0|NoPrepend
198292|0|NoPrepend
15440|0|NoPrepend
42549|0|NoPrepend
14717|0;2|Mixed
12494|0;2|Mixed
60880|2|Binary
39184|0|NoPrepend
200752|0|NoPrepend
7018|0;2;1|Mixed
38933|0|NoPrepend
43297|0|NoPrepend
8764|1;0;2|Mixed
20875|0|NoPrepend
41877|0|NoPrepend
206751|0|NoPrepend
51561|0|NoPrepend
43207|0|NoPrepend
25577|0|NoPrepend
29697|0|NoPrepend
197595|0|NoPrepend
196925|0|NoPrepend
41107|0|NoPrepend
197227|0|NoPrepend
34762|0;2|Mixed
34282|0|NoPrepend
39440|0|NoPrepend
58345|0|NoPrepend
57304|0|NoPrepend
197336|0|NoPrepend
39039|0|NoPrepend
199075|0|NoPrepend
62129|0|NoPrepend
34391|0|NoPrepend
41937|2;0|Mixed
59432|0|NoPrepend
3242|0|NoPrepend
42656|2|Binary
21367|0|NoPrepend
33934|0|NoPrepend
35177|0|NoPrepend
42548|0|NoPrepend
60716|0|NoPrepend
29456|0|NoPrepend
15468|0|NoPrepend
12730|0|NoPrepend
201907|0|NoPrepend
203841|0|NoPrepend
15600|0|NoPrepend
25091|0|NoPrepend
13055|0|NoPrepend
59445|2|Binary
61349|0;1|Mixed
8359|2;0|Mixed
29209|0|NoPrepend
60891|0|NoPrepend
59441|0|NoPrepend
8304|0;2|Mixed
197991|1;0|Mixed
8468|0|NoPrepend
12637|0|NoPrepend
31638|2;0|Mixed
29247|0|NoPrepend
203165|2|Binary
60256|0|NoPrepend
58267|0|NoPrepend
61103|0|NoPrepend
35193|0|NoPrepend
34953|0|NoPrepend
196916|0|NoPrepend
197206|0|NoPrepend
44381|0|NoPrepend
44265|2|Binary
39020|0|NoPrepend
198807|2|Binary
9063|0|NoPrepend
25180|0|NoPrepend
29691|0|NoPrepend
34960|0|NoPrepend
33967|0|NoPrepend
59457|0|NoPrepend
35567|0|NoPrepend
59458|0|NoPrepend
197264|0|NoPrepend
54058|0|NoPrepend
28907|0|NoPrepend
49964|0;2|Mixed
48844|0|NoPrepend
21438|0|NoPrepend
56724|1;0|Mixed
201551|0|NoPrepend
60731|0|NoPrepend
199256|2;0|Mixed
47548|2|Binary
196890|0|NoPrepend
50477|0;2|Mixed
35816|2;0|Mixed
20902|0|NoPrepend
197248|0|NoPrepend
59711|2|Binary
61046|0|NoPrepend
201525|0|NoPrepend
60187|2;0|Mixed
5602|0|NoPrepend
34912|0|NoPrepend
36131|0|NoPrepend
31151|0|NoPrepend
8473|0|NoPrepend
42689|2|Binary
35805|2;0|Mixed
199026|0|NoPrepend
59472|0|NoPrepend
198047|0|NoPrepend
6939|2;0|Mixed
25542|0|NoPrepend
17819|0;2|Mixed
59519|0|NoPrepend
5538|0|NoPrepend
199051|0|NoPrepend
59695|0|NoPrepend
12703|0|NoPrepend
44574|0|NoPrepend
60687|0|NoPrepend
41039|2;1|Mixed
3261|2|Binary
41172|0|NoPrepend
209595|0|NoPrepend
8274|2|Binary
41081|0|NoPrepend
196977|0|NoPrepend
63119|0|NoPrepend
50957|2|Binary
202813|0|NoPrepend
199952|0|NoPrepend
48427|0;2|Mixed
206124|0|NoPrepend
203600|2;1|Mixed
36678|0|NoPrepend
57869|2;1|Mixed
42076|0|NoPrepend
39203|0|NoPrepend
33881|0|NoPrepend
41010|0|NoPrepend
41825|0|NoPrepend
43214|0|NoPrepend
50939|0|NoPrepend
60201|0|NoPrepend
42617|0|NoPrepend
48273|0|NoPrepend
43474|0|NoPrepend
39712|3|Diverse
60289|0|NoPrepend
59728|0|NoPrepend
15605|0|NoPrepend
44252|0|NoPrepend
48734|0|NoPrepend
60531|0|NoPrepend
207148|0|NoPrepend
34358|0|NoPrepend
6663|0|NoPrepend
41197|2|Binary
62094|0|NoPrepend
60231|0|NoPrepend
57972|0|NoPrepend
47536|0;2|Mixed
41204|0|NoPrepend
60485|0|NoPrepend
12658|0;1|Mixed
48635|0;1|Mixed
21162|0|NoPrepend
35612|0;2|Mixed
49910|0|NoPrepend
49687|0|NoPrepend
60882|0|NoPrepend
44374|0|NoPrepend
197476|0|NoPrepend
42859|0|NoPrepend
60901|0|NoPrepend
201909|0|NoPrepend
199552|0|NoPrepend
199181|0|NoPrepend
44369|0|NoPrepend
38934|1;2|Mixed
199990|0|NoPrepend
59518|0|NoPrepend
199143|0|NoPrepend
41489|0;2|Mixed
34892|2;0|Mixed
49594|0|NoPrepend
49808|0|NoPrepend
59499|0|NoPrepend
59503|0|NoPrepend
61167|0|NoPrepend
200568|0;2|Mixed
9136|0|NoPrepend
202016|0|NoPrepend
61194|0|NoPrepend
198357|0;1|Mixed
48359|0|NoPrepend
59507|0|NoPrepend
59508|1|Uniform
197078|2;3|Mixed
59659|2|Binary
12334|0|NoPrepend
199053|0|NoPrepend
48620|2|Binary
62262|0;1|Mixed
34655|0|NoPrepend
47381|0|NoPrepend
60494|0|NoPrepend
41296|0|NoPrepend
61176|0|NoPrepend
49100|0|NoPrepend
62318|0|NoPrepend
205207|0|NoPrepend
62157|1;0|Mixed
51469|1;0|Mixed
64460|0|NoPrepend
51541|0|NoPrepend
50855|0|NoPrepend
25158|0|NoPrepend
64436|0|NoPrepend
60811|0|NoPrepend
59797|0|NoPrepend
59961|0|NoPrepend
43395|0|NoPrepend
60014|0|NoPrepend
59838|0|NoPrepend
62039|0|NoPrepend
16018|0|NoPrepend
34341|0|NoPrepend
59757|0|NoPrepend
59501|0|NoPrepend
50692|0|NoPrepend
62265|1;0|Mixed
49433|0|NoPrepend
35615|0|NoPrepend
52207|0|NoPrepend
41843|0|NoPrepend
56377|0|NoPrepend
34533|0|NoPrepend
51604|0|NoPrepend
57044|0|NoPrepend
50498|0|NoPrepend
49048|0|NoPrepend
51819|0|NoPrepend
51035|0|NoPrepend
56981|0|NoPrepend
50512|0|NoPrepend
12768|0|NoPrepend
56420|0|NoPrepend
41854|0|NoPrepend
51645|0|NoPrepend
41727|0|NoPrepend
9125|2;0|Mixed
20559|2;0|Mixed
43599|0|NoPrepend
20712|2;0|Mixed
58269|0|NoPrepend
15798|0|NoPrepend
60279|0|NoPrepend
207012|0|NoPrepend
199081|0;1|Mixed
60911|0|NoPrepend
13113|0|NoPrepend
199139|0|NoPrepend
39603|2|Binary
201019|2;1|Mixed
