# AS|ObservedPolicies|GeralPolicy
19031|0|NoPrepend
1447|0|NoPrepend
6653|0|NoPrepend
14045|0|NoPrepend
17143|0|NoPrepend
393806|0|NoPrepend
10835|0;2|Mixed
33564|0|NoPrepend
2714|0|NoPrepend
17337|1|Uniform
19936|0|NoPrepend
21934|0|NoPrepend
32996|0|NoPrepend
32056|0|NoPrepend
22230|0|NoPrepend
393860|0|NoPrepend
20145|2|Binary
23182|0|NoPrepend
395478|2|Binary
20029|0|NoPrepend
393834|0|NoPrepend
3909|0|NoPrepend
22273|0|NoPrepend
23249|0|NoPrepend
27514|0|NoPrepend
25652|0|NoPrepend
62817|1|Uniform
393353|0|NoPrepend
31752|0|NoPrepend
33238|0|NoPrepend
17054|0|NoPrepend
25873|0|NoPrepend
19360|0|NoPrepend
36719|0|NoPrepend
16823|0|NoPrepend
40631|1|Uniform
33088|0|NoPrepend
22783|1;0|Mixed
395506|0|NoPrepend
19618|0|NoPrepend
22891|0|NoPrepend
14847|2;1|Mixed
6103|0|NoPrepend
25612|0|NoPrepend
6222|0|NoPrepend
1790|0;1|Mixed
22492|1|Uniform
26518|0|NoPrepend
12133|0;2|Mixed
5778|0|NoPrepend
17046|2|Binary
62759|0|NoPrepend
13723|0|NoPrepend
16389|0|NoPrepend
29981|0|NoPrepend
11743|0|NoPrepend
11398|0|NoPrepend
25916|0|NoPrepend
19390|0|NoPrepend
27696|0|NoPrepend
13405|0|NoPrepend
19772|0|NoPrepend
14921|0|NoPrepend
26307|0|NoPrepend
26148|0|NoPrepend
11403|2;0;3|Mixed
32254|0|NoPrepend
26005|0|NoPrepend
18494|0|NoPrepend
22106|0|NoPrepend
18632|0|NoPrepend
54437|0|NoPrepend
395694|0|NoPrepend
30435|0|NoPrepend
32325|0|NoPrepend
18685|0|NoPrepend
46140|2|Binary
18593|0|NoPrepend
53305|0|NoPrepend
13866|2|Binary
17129|0|NoPrepend
26876|0|NoPrepend
40157|0|NoPrepend
16747|0|NoPrepend
13776|2;0;1|Mixed
31920|0|NoPrepend
46718|0|NoPrepend
36134|0|NoPrepend
6062|0|NoPrepend
32068|0|NoPrepend
4972|0|NoPrepend
32076|0|NoPrepend
20113|0|NoPrepend
18618|0|NoPrepend
11280|2;1|Mixed
26125|0|NoPrepend
17047|0|NoPrepend
30117|0|NoPrepend
19301|0|NoPrepend
46536|0;1|Mixed
14330|0|NoPrepend
21950|0|NoPrepend
12126|0|NoPrepend
22486|0|NoPrepend
33048|0|NoPrepend
46325|0|NoPrepend
46853|0|NoPrepend
27470|0|NoPrepend
26451|0|NoPrepend
10397|0;2|Mixed
26262|0|NoPrepend
16565|1|Uniform
22885|0|NoPrepend
14979|1;2;0|Mixed
6109|0|NoPrepend
27462|0|NoPrepend
25765|0;2|Mixed
3644|0|NoPrepend
12122|0;1|Mixed
40865|0|NoPrepend
39953|0|NoPrepend
10926|0|NoPrepend
25664|0|NoPrepend
46880|0|NoPrepend
22559|2|Binary
14691|0|NoPrepend
22352|0|NoPrepend
396329|0|NoPrepend
5033|0|NoPrepend
40795|0|NoPrepend
36714|0|NoPrepend
27553|0|NoPrepend
32479|0|NoPrepend
16559|0|NoPrepend
16582|0|NoPrepend
394563|0|NoPrepend
395252|1|Uniform
12129|0|NoPrepend
32348|0|NoPrepend
13797|0|NoPrepend
32035|0|NoPrepend
32560|0|NoPrepend
11572|0|NoPrepend
32429|0|NoPrepend
32806|1;0|Mixed
31881|0|NoPrepend
36734|0|NoPrepend
24399|0;1|Mixed
24413|0|NoPrepend
10082|2;0|Mixed
7262|0|NoPrepend
17057|0|NoPrepend
16841|0|NoPrepend
198148|0|NoPrepend
9237|0;1|Mixed
63113|0|NoPrepend
395935|0|NoPrepend
18781|0|NoPrepend
22566|0;1|Mixed
30449|0|NoPrepend
22180|0|NoPrepend
16935|0;1|Mixed
3912|0|NoPrepend
32210|0|NoPrepend
106|0|NoPrepend
26326|2|Binary
394456|0|NoPrepend
18629|0|NoPrepend
395455|0|NoPrepend
22463|0|NoPrepend
6594|0|NoPrepend
13614|0|NoPrepend
18821|0|NoPrepend
17206|0|NoPrepend
4200010173|0|NoPrepend
395245|0|NoPrepend
395452|0|NoPrepend
32406|0|NoPrepend
36172|2|Binary
16871|0|NoPrepend
27516|0|NoPrepend
32581|0|NoPrepend
394575|0|NoPrepend
3819|0|NoPrepend
19649|0|NoPrepend
29976|0|NoPrepend
32729|0|NoPrepend
53261|0|NoPrepend
4200000007|0|NoPrepend
16915|0|NoPrepend
26382|0|NoPrepend
14230|0;2;1|Mixed
394306|2;1|Mixed
54573|0;1|Mixed
12113|0|NoPrepend
36557|0|NoPrepend
15185|0|NoPrepend
19546|0|NoPrepend
23221|1|Uniform
11962|0|NoPrepend
14055|0|NoPrepend
25980|0|NoPrepend
53606|0|NoPrepend
14161|2|Binary
19195|0|NoPrepend
53655|0|NoPrepend
18795|0;2|Mixed
17164|0|NoPrepend
12068|0|NoPrepend
33603|0|NoPrepend
26373|2|Binary
10511|0|NoPrepend
14597|0|NoPrepend
54450|0|NoPrepend
4200010039|0|NoPrepend
13622|0|NoPrepend
47069|0|NoPrepend
14378|0|NoPrepend
394709|2|Binary
36721|0;1|Mixed
27624|0|NoPrepend
36120|0|NoPrepend
22992|0|NoPrepend
53272|0|NoPrepend
16431|0|NoPrepend
22473|0|NoPrepend
11223|0|NoPrepend
33376|0|NoPrepend
40272|0|NoPrepend
32664|1;0|Mixed
18796|1|Uniform
394757|0|NoPrepend
32040|0;2|Mixed
23083|0|NoPrepend
32571|0|NoPrepend
55193|2|Binary
13314|0|NoPrepend
53282|0|NoPrepend
13683|0|NoPrepend
20313|0|NoPrepend
7105|0|NoPrepend
36674|0|NoPrepend
16959|0|NoPrepend
53825|0|NoPrepend
54981|0|NoPrepend
4269|0|NoPrepend
394803|0|NoPrepend
11021|1|Uniform
31926|0|NoPrepend
39985|0|NoPrepend
25929|0|NoPrepend
46650|0|NoPrepend
28506|2;3;1|Mixed
26619|0;2|Mixed
52233|0|NoPrepend
8014|0|NoPrepend
32758|0|NoPrepend
32694|0|NoPrepend
47028|0|NoPrepend
32800|0|NoPrepend
23452|0|NoPrepend
393796|0|NoPrepend
26282|0|NoPrepend
18924|0|NoPrepend
36856|0|NoPrepend
53371|0|NoPrepend
395642|0|NoPrepend
395639|0|NoPrepend
395622|1|Uniform
395606|0|NoPrepend
19685|0|NoPrepend
26267|0|NoPrepend
27467|0|NoPrepend
7268|0|NoPrepend
27419|0|NoPrepend
21840|0|NoPrepend
14695|0|NoPrepend
23462|0|NoPrepend
46452|0|NoPrepend
27609|0|NoPrepend
10352|0|NoPrepend
40229|1|Uniform
3595|0|NoPrepend
23400|0|NoPrepend
40144|0;2|Mixed
30221|2|Binary
11574|0|NoPrepend
30527|2|Binary
36667|0|NoPrepend
32604|0|NoPrepend
23205|2;1|Mixed
3742|0|NoPrepend
22030|0;2|Mixed
36049|0;2|Mixed
14978|0|NoPrepend
11994|0|NoPrepend
4906|0|NoPrepend
11069|0|NoPrepend
19263|0|NoPrepend
36647|0|NoPrepend
26101|0|NoPrepend
26255|0;2|Mixed
54874|0|NoPrepend
14744|3;2|Mixed
13789|3;2;0|Mixed
393954|0|NoPrepend
46978|2;0|Mixed
14743|0|NoPrepend
55034|0|NoPrepend
32959|0|NoPrepend
22202|2|Binary
396068|0|NoPrepend
14745|0;2|Mixed
7835|0|NoPrepend
26353|2;0|Mixed
31753|1;0|Mixed
46474|2|Binary
16417|0;1|Mixed
36062|0|NoPrepend
24247|0|NoPrepend
12181|2;0|Mixed
394506|0|NoPrepend
19525|2|Binary
33433|0|NoPrepend
14636|1|Uniform
14742|2;0|Mixed
27382|0|NoPrepend
33517|0|NoPrepend
10912|2;0|Mixed
21744|0|NoPrepend
13790|0|NoPrepend
26550|0|NoPrepend
395110|0|NoPrepend
53766|0|NoPrepend
63188|0;1|Mixed
395864|0|NoPrepend
23433|0|NoPrepend
5693|0|NoPrepend
33134|2|Binary
395291|0|NoPrepend
16830|2;0|Mixed
25760|0|NoPrepend
18504|0|NoPrepend
16402|0|NoPrepend
18633|0|NoPrepend
19625|0|NoPrepend
14125|0|NoPrepend
36104|1;0|Mixed
3845|0|NoPrepend
30718|0|NoPrepend
26795|0|NoPrepend
33500|0|NoPrepend
394027|0|NoPrepend
47051|0|NoPrepend
22199|0|NoPrepend
5715|0|NoPrepend
395052|2;0|Mixed
11758|0|NoPrepend
7122|0|NoPrepend
4927|0|NoPrepend
36612|0|NoPrepend
11090|0|NoPrepend
17012|0;2|Mixed
14107|0|NoPrepend
32867|0|NoPrepend
33680|0;2|Mixed
26972|0|NoPrepend
11221|0|NoPrepend
19354|0|NoPrepend
23432|0|NoPrepend
14363|0|NoPrepend
23274|2;0;3|Mixed
36624|2;1|Mixed
36623|2;1|Mixed
19237|0|NoPrepend
19504|0|NoPrepend
8159|0|NoPrepend
18566|0;2|Mixed
8010|2|Binary
53497|0|NoPrepend
15042|0|NoPrepend
11647|0;2|Mixed
13549|2;0|Mixed
26138|0|NoPrepend
14274|0|NoPrepend
46228|0|NoPrepend
36139|0|NoPrepend
17393|0|NoPrepend
1998|0|NoPrepend
14983|0|NoPrepend
15209|2;1|Mixed
27211|1|Uniform
3900|0;1|Mixed
36341|0|NoPrepend
32477|0|NoPrepend
11115|0|NoPrepend
393640|0|NoPrepend
36492|0;2;1|Mixed
12042|0|NoPrepend
395441|0|NoPrepend
31815|2;0|Mixed
4298|0;1|Mixed
46434|0;1;2|Mixed
21563|0|NoPrepend
32372|0|NoPrepend
21564|0|NoPrepend
17286|0|NoPrepend
22343|0|NoPrepend
43515|0|NoPrepend
36040|0|NoPrepend
6640|0|NoPrepend
15170|0|NoPrepend
21540|0|NoPrepend
63440|0|NoPrepend
35041|0|NoPrepend
54989|0|NoPrepend
22607|0|NoPrepend
22068|0|NoPrepend
19453|0|NoPrepend
33224|1;2|Mixed
21879|0|NoPrepend
26878|0|NoPrepend
19616|0|NoPrepend
27403|2;0;1|Mixed
21548|2;0|Mixed
35927|1|Uniform
19700|2|Binary
27280|0|NoPrepend
19830|0;2|Mixed
14037|2|Binary
19515|2;0|Mixed
40523|0|NoPrepend
11722|0|NoPrepend
62476|0|NoPrepend
30029|0|NoPrepend
7078|0|NoPrepend
13951|0|NoPrepend
32575|0|NoPrepend
26108|0|NoPrepend
14332|0|NoPrepend
4913|0;1;2|Mixed
6459|0|NoPrepend
16863|0;1|Mixed
19318|0|NoPrepend
16564|0|NoPrepend
27287|0|NoPrepend
16503|0|NoPrepend
394931|0|NoPrepend
22646|1;2;0|Mixed
27506|0|NoPrepend
32640|0|NoPrepend
21755|0|NoPrepend
21704|0|NoPrepend
19653|2;0|Mixed
18499|0|NoPrepend
30145|0|NoPrepend
53886|0|NoPrepend
23131|0|NoPrepend
14090|0|NoPrepend
22302|0|NoPrepend
21627|0|NoPrepend
7226|0|NoPrepend
16626|0|NoPrepend
14415|0|NoPrepend
13631|0|NoPrepend
698|0|NoPrepend
11320|0|NoPrepend
21737|0|NoPrepend
30535|0|NoPrepend
32400|0|NoPrepend
6316|0|NoPrepend
19535|1;0|Mixed
30588|0|NoPrepend
35977|0|NoPrepend
19356|0|NoPrepend
26251|0|NoPrepend
31785|0|NoPrepend
21947|0|NoPrepend
33521|0|NoPrepend
19092|0|NoPrepend
25636|0|NoPrepend
13536|0|NoPrepend
12055|1;0|Mixed
16384|0|NoPrepend
26891|0|NoPrepend
20401|0|NoPrepend
6189|0|NoPrepend
6407|2;3;0|Mixed
14343|2;0;1|Mixed
13354|0;2|Mixed
25843|0|NoPrepend
26895|0|NoPrepend
40290|0|NoPrepend
16931|0|NoPrepend
53907|0|NoPrepend
41572|0|NoPrepend
33227|0|NoPrepend
26949|0|NoPrepend
29769|1|Uniform
20385|3;0|Mixed
32222|0|NoPrepend
395279|0|NoPrepend
5639|0|NoPrepend
28067|0|NoPrepend
14335|0|NoPrepend
11093|0|NoPrepend
25963|0|NoPrepend
53477|0|NoPrepend
36509|0|NoPrepend
14959|0|NoPrepend
13692|1;0|Mixed
11563|1|Uniform
16819|0|NoPrepend
26052|0|NoPrepend
22790|0|NoPrepend
23342|0|NoPrepend
30447|0|NoPrepend
23421|0|NoPrepend
30412|0|NoPrepend
26402|0;2|Mixed
27279|0|NoPrepend
13547|2|Binary
14635|0|NoPrepend
14051|0;1|Mixed
30496|0;2|Mixed
32880|0;1;2|Mixed
11841|1;0|Mixed
6641|0|NoPrepend
16617|0|NoPrepend
11138|0|NoPrepend
6400|0|NoPrepend
24255|3|Diverse
11796|0|NoPrepend
11696|0|NoPrepend
13576|0|NoPrepend
20014|1|Uniform
5764|0|NoPrepend
46482|0|NoPrepend
19202|0|NoPrepend
55199|0|NoPrepend
35947|1|Uniform
395806|0|NoPrepend
393731|0|NoPrepend
53494|0|NoPrepend
12111|0|NoPrepend
46595|1|Uniform
36378|0|NoPrepend
10320|0|NoPrepend
36143|0|NoPrepend
32281|0|NoPrepend
11618|0|NoPrepend
7393|0|NoPrepend
13720|1;2|Mixed
63117|0|NoPrepend
16494|0|NoPrepend
16483|0|NoPrepend
21946|2;0;1|Mixed
22576|0|NoPrepend
11433|0|NoPrepend
19151|0|NoPrepend
18568|0|NoPrepend
396032|0|NoPrepend
32161|0|NoPrepend
29656|2|Binary
32164|0|NoPrepend
27521|0|NoPrepend
16700|2|Binary
14878|0|NoPrepend
6428|0|NoPrepend
10736|0|NoPrepend
16835|0|NoPrepend
22561|0|NoPrepend
14280|0|NoPrepend
14205|0|NoPrepend
395532|0|NoPrepend
15035|0|NoPrepend
32900|0|NoPrepend
6479|1|Uniform
10325|0|NoPrepend
24989|0|NoPrepend
32453|2;1|Mixed
7215|0|NoPrepend
20046|0;1|Mixed
10381|0|NoPrepend
6539|0|NoPrepend
18704|0|NoPrepend
33633|0|NoPrepend
48951|0|NoPrepend
557|0|NoPrepend
7944|0|NoPrepend
21808|0|NoPrepend
2379|0|NoPrepend
31928|0|NoPrepend
6367|0|NoPrepend
22186|0|NoPrepend
40029|3|Diverse
19875|0|NoPrepend
26163|0|NoPrepend
5716|0|NoPrepend
21523|2;0|Mixed
19855|0;1;2|Mixed
30482|0;2|Mixed
30018|3|Diverse
14527|0|NoPrepend
40920|0|NoPrepend
22940|0|NoPrepend
27226|0|NoPrepend
22775|1;0;2|Mixed
33014|0|NoPrepend
63233|0|NoPrepend
394360|0|NoPrepend
12036|0|NoPrepend
19082|2;3;0|Mixed
39987|0|NoPrepend
11127|0|NoPrepend
11300|0|NoPrepend
15244|0|NoPrepend
26919|0|NoPrepend
{3385}|0|NoPrepend
25892|0|NoPrepend
2711|0;2|Mixed
18671|0|NoPrepend
7250|2|Binary
14615|0|NoPrepend
21830|0|NoPrepend
40641|2;0|Mixed
10279|0|NoPrepend
395437|0;1|Mixed
19212|1|Uniform
29897|0|NoPrepend
21766|2;3;0;1|Mixed
5653|0;2;1|Mixed
53996|0|NoPrepend
17150|0|NoPrepend
393698|0|NoPrepend
5009|0|NoPrepend
40207|0|NoPrepend
22439|0|NoPrepend
36843|0|NoPrepend
4511|3|Diverse
7939|0|NoPrepend
13406|0|NoPrepend
31999|0|NoPrepend
16393|0|NoPrepend
394234|0|NoPrepend
14131|0|NoPrepend
15102|0;1;2|Mixed
7932|0|NoPrepend
63238|0|NoPrepend
395826|2;0|Mixed
15213|0|NoPrepend
11164|0|NoPrepend
11537|0|NoPrepend
13880|0|NoPrepend
29831|0|NoPrepend
11620|0|NoPrepend
25695|2|Binary
18594|1;0;2|Mixed
18659|0|NoPrepend
26727|0|NoPrepend
23086|0|NoPrepend
396106|0|NoPrepend
11134|0|NoPrepend
14755|0|NoPrepend
10818|0|NoPrepend
36329|0;2;1|Mixed
29743|0|NoPrepend
46696|0|NoPrepend
54567|0|NoPrepend
22814|0|NoPrepend
32458|0|NoPrepend
6286|0;1;2|Mixed
54790|0|NoPrepend
13649|0|NoPrepend
23199|0|NoPrepend
27646|0|NoPrepend
33154|0|NoPrepend
16908|2;0;1|Mixed
27589|0|NoPrepend
13438|0|NoPrepend
29723|0|NoPrepend
10951|0|NoPrepend
32943|0|NoPrepend
393258|0|NoPrepend
32946|0|NoPrepend
14440|2|Binary
40554|0|NoPrepend
62847|0|NoPrepend
394996|0|NoPrepend
57|2;3;0|Mixed
13650|0|NoPrepend
54197|0|NoPrepend
26882|0|NoPrepend
13414|1;0|Mixed
18557|0|NoPrepend
25847|0|NoPrepend
32899|0|NoPrepend
13807|0|NoPrepend
395335|0|NoPrepend
32062|0;2|Mixed
13468|0|NoPrepend
1616|0|NoPrepend
53612|0|NoPrepend
18612|0|NoPrepend
25668|2;0|Mixed
18875|0|NoPrepend
16877|0|NoPrepend
29968|0|NoPrepend
11191|0|NoPrepend
15127|0|NoPrepend
27539|0|NoPrepend
16567|0|NoPrepend
22588|0|NoPrepend
13989|0|NoPrepend
14955|0|NoPrepend
16686|0;2|Mixed
30167|0;1|Mixed
53862|0|NoPrepend
19871|0|NoPrepend
55002|0|NoPrepend
14441|0|NoPrepend
16597|0|NoPrepend
14459|0|NoPrepend
25665|0;2|Mixed
33409|0|NoPrepend
63002|0|NoPrepend
33439|0|NoPrepend
33544|0|NoPrepend
394911|0|NoPrepend
14814|0|NoPrepend
1970|0|NoPrepend
26760|0|NoPrepend
63186|0;1|Mixed
6565|0|NoPrepend
393885|0|NoPrepend
11745|0|NoPrepend
20208|0|NoPrepend
12184|2;1;0|Mixed
25909|0;2;1|Mixed
53778|0|NoPrepend
29905|0|NoPrepend
33493|0|NoPrepend
27501|0;2;1|Mixed
54458|0|NoPrepend
3599|0;2;3|Mixed
14216|2|Binary
19972|0|NoPrepend
394140|0|NoPrepend
395424|0|NoPrepend
46912|0|NoPrepend
10910|0|NoPrepend
15278|1;0|Mixed
23463|0|NoPrepend
29949|0;2|Mixed
13821|0;2;1|Mixed
32011|0|NoPrepend
14586|1|Uniform
18908|0|NoPrepend
20166|0|NoPrepend
30636|0;1;2|Mixed
22132|0|NoPrepend
23023|0|NoPrepend
12178|0|NoPrepend
19905|0|NoPrepend
33257|0|NoPrepend
35872|2|Binary
27545|2|Binary
14393|0|NoPrepend
32873|2|Binary
19833|0;2|Mixed
53779|0|NoPrepend
26275|0|NoPrepend
54538|2;0;1|Mixed
40150|0|NoPrepend
393836|0|NoPrepend
23335|2|Binary
40686|0|NoPrepend
14610|2;0|Mixed
19950|2;0|Mixed
396167|0|NoPrepend
19963|0|NoPrepend
3776|1;0|Mixed
395618|2|Binary
22698|0;2|Mixed
26048|0|NoPrepend
26228|0|NoPrepend
27911|0|NoPrepend
21765|0|NoPrepend
52246|0;2;1|Mixed
262257|0|NoPrepend
27989|0;2|Mixed
394473|2;0|Mixed
394728|0;2|Mixed
33178|0|NoPrepend
4452|0|NoPrepend
394859|0|NoPrepend
16406|0|NoPrepend
42|0|NoPrepend
19689|0|NoPrepend
30410|0|NoPrepend
17322|0|NoPrepend
22485|0|NoPrepend
393713|0|NoPrepend
10297|0|NoPrepend
396399|0|NoPrepend
23005|0;2|Mixed
4882|0|NoPrepend
27496|0|NoPrepend
26914|0|NoPrepend
36288|0|NoPrepend
6146|0|NoPrepend
10475|0|NoPrepend
13678|0|NoPrepend
20098|0;2|Mixed
7341|0|NoPrepend
40702|2|Binary
46577|0|NoPrepend
394552|0|NoPrepend
26424|0|NoPrepend
36204|2;0|Mixed
21827|0|NoPrepend
11629|0|NoPrepend
21645|0|NoPrepend
22712|0|NoPrepend
11590|0|NoPrepend
26286|0|NoPrepend
13894|0|NoPrepend
55246|0|NoPrepend
15247|0|NoPrepend
30517|0|NoPrepend
11904|2;0|Mixed
19435|0|NoPrepend
4581|0|NoPrepend
24439|0|NoPrepend
18563|0;2|Mixed
53365|2;0|Mixed
26463|0|NoPrepend
14860|0|NoPrepend
30361|0|NoPrepend
11367|3|Diverse
40181|0|NoPrepend
14919|0;1|Mixed
395896|0|NoPrepend
20448|0|NoPrepend
5006|0|NoPrepend
23126|0|NoPrepend
11961|0|NoPrepend
17204|0|NoPrepend
29979|0|NoPrepend
26347|0;2|Mixed
20283|0|NoPrepend
64227|2;1|Mixed
19797|0|NoPrepend
18787|0;2|Mixed
393474|0|NoPrepend
21782|0|NoPrepend
27216|0;2|Mixed
16599|0|NoPrepend
55273|0|NoPrepend
6300|0;1|Mixed
39939|0|NoPrepend
56001|0|NoPrepend
29863|0;1|Mixed
396037|0|NoPrepend
558|2;0|Mixed
394081|0|NoPrepend
32733|0|NoPrepend
18965|2|Binary
32270|2;1|Mixed
13840|0|NoPrepend
395951|0|NoPrepend
46373|0|NoPrepend
11855|1|Uniform
13792|0|NoPrepend
32374|0|NoPrepend
18730|0|NoPrepend
46501|0|NoPrepend
11853|1|Uniform
14922|0|NoPrepend
25781|2|Binary
54219|0|NoPrepend
11823|0|NoPrepend
19592|0|NoPrepend
3846|0|NoPrepend
31982|2|Binary
20230|0|NoPrepend
32826|0|NoPrepend
21751|2|Binary
1608|0|NoPrepend
27273|0|NoPrepend
20461|0;1|Mixed
394779|0|NoPrepend
394471|0;2|Mixed
25974|0|NoPrepend
63982|0|NoPrepend
19983|0|NoPrepend
33717|0;2;1|Mixed
395644|0|NoPrepend
33550|2|Binary
31956|0|NoPrepend
30541|0|NoPrepend
62831|0|NoPrepend
393818|0|NoPrepend
62087|0|NoPrepend
16892|0|NoPrepend
63363|0|NoPrepend
32491|0|NoPrepend
